Geno,Block,Loc,Year,Height
BESC-185,Replacement,CA,2011,707
BESC-186,1,CA,2011,NA
BESC-186,2,CA,2011,405
BESC-186,Replacement,CA,2011,524
BESC-187,1,CA,2011,NA
BESC-187,2,CA,2011,443
BESC-187,Replacement,CA,2011,NA
BESC-188,2,CA,2011,392
BESC-188,Replacement,CA,2011,426
BESC-189,1,CA,2011,624
BESC-189,2,CA,2011,580
BESC-189,Replacement,CA,2011,NA
BESC-19,2,CA,2011,196
BESC-19,Replacement,CA,2011,266
BESC-190,1,CA,2011,135
BESC-190,2,CA,2011,240
BESC-190,Replacement,CA,2011,44
BESC-191,1,CA,2011,455
BESC-191,2,CA,2011,NA
BESC-191,Replacement,CA,2011,506
BESC-192,1,CA,2011,280
BESC-192,2,CA,2011,245
BESC-192,Replacement,CA,2011,454
BESC-193,1,CA,2011,275
BESC-193,2,CA,2011,331
BESC-193,3,CA,2011,355
BESC-193,Replacement,CA,2011,432
BESC-194,2,CA,2011,260
BESC-194,3,CA,2011,NA
BESC-194,Replacement,CA,2011,NA
BESC-195,1,CA,2011,364
BESC-195,2,CA,2011,434
BESC-195,3,CA,2011,212
BESC-195,Replacement,CA,2011,247
BESC-196,2,CA,2011,NA
BESC-196,3,CA,2011,NA
BESC-196,Replacement,CA,2011,356
BESC-197,1,CA,2011,426
BESC-197,2,CA,2011,472
BESC-197,3,CA,2011,465
BESC-197,Replacement,CA,2011,512
BESC-198,1,CA,2011,340
BESC-198,2,CA,2011,408
BESC-198,3,CA,2011,328
BESC-198,Replacement,CA,2011,NA
BESC-199,2,CA,2011,122
BESC-199,Replacement,CA,2011,NA
BESC-2,1,CA,2011,432
BESC-2,2,CA,2011,233
BESC-2,3,CA,2011,NA
BESC-2,3,CA,2011,376
BESC-2,Replacement,CA,2011,235
BESC-20,1,CA,2011,NA
BESC-20,2,CA,2011,315
BESC-20,3,CA,2011,395
BESC-200,1,CA,2011,410
BESC-201,1,CA,2011,NA
BESC-201,2,CA,2011,NA
BESC-201,3,CA,2011,409
BESC-202,1,CA,2011,252
BESC-203,2,CA,2011,402
BESC-203,3,CA,2011,412
BESC-204,1,CA,2011,254
BESC-204,Replacement,CA,2011,NA
BESC-205,2,CA,2011,424
BESC-205,3,CA,2011,NA
BESC-205,Replacement,CA,2011,NA
BESC-206,1,CA,2011,436
BESC-206,2,CA,2011,272
BESC-206,3,CA,2011,188
BESC-206,Replacement,CA,2011,NA
BESC-207,1,CA,2011,NA
BESC-207,2,CA,2011,345
BESC-207,3,CA,2011,423
BESC-207,Replacement,CA,2011,NA
BESC-208,1,CA,2011,NA
BESC-208,2,CA,2011,357
BESC-208,Replacement,CA,2011,274
BESC-209,Replacement,CA,2011,NA
BESC-21,2,CA,2011,430
BESC-21,Replacement,CA,2011,462
BESC-210,2,CA,2011,336
BESC-210,3,CA,2011,428
BESC-210,Replacement,CA,2011,285
BESC-211,1,CA,2011,460
BESC-211,2,CA,2011,460
BESC-211,Replacement,CA,2011,522
BESC-212,1,CA,2011,288
BESC-212,2,CA,2011,268
BESC-212,3,CA,2011,NA
BESC-212,Replacement,CA,2011,342
BESC-213,1,CA,2011,260
BESC-213,2,CA,2011,258
BESC-213,3,CA,2011,455
BESC-213,Replacement,CA,2011,456
BESC-214,2,CA,2011,196
BESC-214,3,CA,2011,NA
BESC-214,Replacement,CA,2011,230
BESC-215,2,CA,2011,301
BESC-215,3,CA,2011,NA
BESC-215,Replacement,CA,2011,NA
BESC-216,2,CA,2011,400
BESC-216,3,CA,2011,312
BESC-216,Replacement,CA,2011,158
BESC-217,1,CA,2011,378
BESC-217,2,CA,2011,380
BESC-217,3,CA,2011,316
BESC-217,Replacement,CA,2011,NA
BESC-218,1,CA,2011,378
BESC-218,2,CA,2011,105
BESC-218,3,CA,2011,324
BESC-219,1,CA,2011,NA
BESC-219,2,CA,2011,307
BESC-219,3,CA,2011,NA
BESC-219,Replacement,CA,2011,224
BESC-22,1,CA,2011,384
BESC-22,3,CA,2011,375
BESC-22,Replacement,CA,2011,244
BESC-220,Replacement,CA,2011,NA
BESC-221,2,CA,2011,365
BESC-221,Replacement,CA,2011,286
BESC-222,1,CA,2011,246
BESC-222,2,CA,2011,232
BESC-222,3,CA,2011,NA
BESC-222,Replacement,CA,2011,352
BESC-223,1,CA,2011,NA
BESC-223,3,CA,2011,545
BESC-223,Replacement,CA,2011,NA
BESC-224,1,CA,2011,254
BESC-224,2,CA,2011,354
BESC-224,3,CA,2011,160
BESC-224,Replacement,CA,2011,262
BESC-225,1,CA,2011,425
BESC-225,2,CA,2011,NA
BESC-225,3,CA,2011,NA
BESC-225,Replacement,CA,2011,215
BESC-226,1,CA,2011,NA
BESC-226,Replacement,CA,2011,264
BESC-227,2,CA,2011,473
BESC-227,3,CA,2011,364
BESC-227,Replacement,CA,2011,350
BESC-228,1,CA,2011,NA
BESC-228,2,CA,2011,245
BESC-228,3,CA,2011,301
BESC-228,Replacement,CA,2011,268
BESC-229,1,CA,2011,425
BESC-229,2,CA,2011,613
BESC-229,Replacement,CA,2011,304
BESC-23,1,CA,2011,374
BESC-23,2,CA,2011,312
BESC-23,Replacement,CA,2011,NA
BESC-230,1,CA,2011,375
BESC-230,2,CA,2011,163
BESC-230,Replacement,CA,2011,NA
BESC-231,1,CA,2011,354
BESC-231,2,CA,2011,458
BESC-231,3,CA,2011,655
BESC-232,1,CA,2011,392
BESC-232,2,CA,2011,528
BESC-232,3,CA,2011,604
BESC-233,2,CA,2011,362
BESC-233,Replacement,CA,2011,264
BESC-234,2,CA,2011,NA
BESC-235,1,CA,2011,NA
BESC-235,2,CA,2011,256
BESC-235,3,CA,2011,NA
BESC-235,Replacement,CA,2011,NA
BESC-236,1,CA,2011,NA
BESC-236,Replacement,CA,2011,335
BESC-237,1,CA,2011,NA
BESC-237,Replacement,CA,2011,NA
BESC-238,2,CA,2011,410
BESC-238,3,CA,2011,245
BESC-238,Replacement,CA,2011,336
BESC-239,1,CA,2011,NA
BESC-239,3,CA,2011,436
BESC-239,Replacement,CA,2011,NA
BESC-24,1,CA,2011,298
BESC-24,2,CA,2011,427
BESC-24,3,CA,2011,NA
BESC-24,3,CA,2011,544
BESC-24,Replacement,CA,2011,460
BESC-240,2,CA,2011,NA
BESC-240,Replacement,CA,2011,184
BESC-241,2,CA,2011,509
BESC-241,3,CA,2011,592
BESC-241,Replacement,CA,2011,364
BESC-242,1,CA,2011,472
BESC-242,2,CA,2011,364
BESC-242,3,CA,2011,345
BESC-243,3,CA,2011,NA
BESC-243,Replacement,CA,2011,300
BESC-245,1,CA,2011,250
BESC-245,2,CA,2011,306
BESC-245,3,CA,2011,500
BESC-245,Replacement,CA,2011,NA
BESC-246,1,CA,2011,376
BESC-246,2,CA,2011,493
BESC-246,3,CA,2011,480
BESC-246,Replacement,CA,2011,NA
BESC-249,1,CA,2011,218
BESC-249,2,CA,2011,NA
BESC-249,3,CA,2011,NA
BESC-249,Replacement,CA,2011,382
BESC-25,1,CA,2011,295
BESC-25,2,CA,2011,306
BESC-250,1,CA,2011,352
BESC-250,3,CA,2011,328
BESC-250,Replacement,CA,2011,288
BESC-252,2,CA,2011,244
BESC-253,1,CA,2011,NA
BESC-253,3,CA,2011,158
BESC-254,1,CA,2011,NA
BESC-254,2,CA,2011,271
BESC-255,2,CA,2011,NA
BESC-255,3,CA,2011,128
BESC-256,1,CA,2011,292
BESC-256,2,CA,2011,304
BESC-256,3,CA,2011,328
BESC-257,1,CA,2011,NA
BESC-257,2,CA,2011,190
BESC-257,3,CA,2011,NA
BESC-259,1,CA,2011,286
BESC-259,2,CA,2011,162
BESC-259,3,CA,2011,NA
BESC-26,1,CA,2011,268
BESC-26,2,CA,2011,224
BESC-26,3,CA,2011,394
BESC-260,3,CA,2011,NA
BESC-261,2,CA,2011,NA
BESC-261,2,CA,2011,465
BESC-262,2,CA,2011,381
BESC-262,3,CA,2011,407
BESC-264,2,CA,2011,NA
BESC-264,3,CA,2011,NA
BESC-265,2,CA,2011,265
BESC-265,3,CA,2011,342
BESC-265,Replacement,CA,2011,165
BESC-266,2,CA,2011,467
BESC-266,3,CA,2011,249
BESC-267,1,CA,2011,NA
BESC-267,2,CA,2011,470
BESC-267,3,CA,2011,307
BESC-268,1,CA,2011,315
BESC-269,1,CA,2011,270
BESC-269,2,CA,2011,343
BESC-269,3,CA,2011,NA
BESC-27,1,CA,2011,364
BESC-27,2,CA,2011,357
BESC-27,3,CA,2011,429
BESC-27,Replacement,CA,2011,318
BESC-271,1,CA,2011,200
BESC-271,2,CA,2011,420
BESC-271,3,CA,2011,470
BESC-272,1,CA,2011,NA
BESC-272,2,CA,2011,192
BESC-272,3,CA,2011,434
BESC-273,1,CA,2011,418
BESC-273,2,CA,2011,162
BESC-273,3,CA,2011,NA
BESC-274,1,CA,2011,340
BESC-274,2,CA,2011,307
BESC-274,2,CA,2011,NA
BESC-274,3,CA,2011,511
BESC-275,1,CA,2011,270
BESC-275,2,CA,2011,291
BESC-275,2,CA,2011,NA
BESC-276,1,CA,2011,NA
BESC-276,2,CA,2011,317
BESC-277,1,CA,2011,NA
BESC-277,2,CA,2011,344
BESC-277,3,CA,2011,450
BESC-277,Replacement,CA,2011,366
BESC-278,2,CA,2011,416
BESC-278,3,CA,2011,358
BESC-279,1,CA,2011,186
BESC-279,2,CA,2011,NA
BESC-28,2,CA,2011,288
BESC-28,3,CA,2011,295
BESC-28,Replacement,CA,2011,252
BESC-280,1,CA,2011,184
BESC-280,2,CA,2011,468
BESC-280,3,CA,2011,NA
BESC-281,2,CA,2011,297
BESC-281,3,CA,2011,183
BESC-282,1,CA,2011,420
BESC-282,2,CA,2011,620
BESC-282,3,CA,2011,676
BESC-282,Replacement,CA,2011,338
BESC-283,1,CA,2011,162
BESC-283,3,CA,2011,407
BESC-283,Replacement,CA,2011,196
BESC-284,1,CA,2011,NA
BESC-284,2,CA,2011,402
BESC-284,3,CA,2011,186
BESC-284,Replacement,CA,2011,248
BESC-286,1,CA,2011,400
BESC-286,3,CA,2011,163
BESC-286,Replacement,CA,2011,145
BESC-287,1,CA,2011,305
BESC-288,2,CA,2011,270
BESC-288,3,CA,2011,438
BESC-288,Replacement,CA,2011,392
BESC-289,1,CA,2011,355
BESC-289,3,CA,2011,NA
BESC-29,1,CA,2011,348
BESC-29,Replacement,CA,2011,NA
BESC-290,3,CA,2011,210
BESC-290,Replacement,CA,2011,300
BESC-291,1,CA,2011,210
BESC-291,2,CA,2011,353
BESC-291,3,CA,2011,NA
BESC-291,Replacement,CA,2011,544
BESC-292,2,CA,2011,275
BESC-292,3,CA,2011,NA
BESC-292,Replacement,CA,2011,304
BESC-293,2,CA,2011,208
BESC-293,3,CA,2011,364
BESC-294,1,CA,2011,NA
BESC-294,2,CA,2011,299
BESC-294,3,CA,2011,344
BESC-295,1,CA,2011,314
BESC-295,2,CA,2011,NA
BESC-295,3,CA,2011,342
BESC-296,3,CA,2011,180
BESC-296,Replacement,CA,2011,288
BESC-297,1,CA,2011,488
BESC-297,2,CA,2011,395
BESC-298,1,CA,2011,268
BESC-299,2,CA,2011,485
BESC-299,Replacement,CA,2011,438
BESC-3,1,CA,2011,250
BESC-3,2,CA,2011,266
BESC-3,Replacement,CA,2011,285
BESC-30,1,CA,2011,335
BESC-30,2,CA,2011,557
BESC-30,Replacement,CA,2011,390
BESC-301,1,CA,2011,394
BESC-301,Replacement,CA,2011,276
BESC-302,1,CA,2011,154
BESC-302,2,CA,2011,485
BESC-302,Replacement,CA,2011,NA
BESC-303,2,CA,2011,NA
BESC-303,3,CA,2011,422
BESC-303,Replacement,CA,2011,394
BESC-304,1,CA,2011,154
BESC-304,2,CA,2011,NA
BESC-304,3,CA,2011,427
BESC-304,Replacement,CA,2011,345
BESC-305,1,CA,2011,508
BESC-305,2,CA,2011,497
BESC-305,Replacement,CA,2011,315
BESC-306,1,CA,2011,NA
BESC-306,2,CA,2011,253
BESC-306,3,CA,2011,332
BESC-306,Replacement,CA,2011,NA
BESC-307,2,CA,2011,286
BESC-307,Replacement,CA,2011,NA
BESC-308,1,CA,2011,274
BESC-308,2,CA,2011,371
BESC-309,2,CA,2011,460
BESC-309,3,CA,2011,NA
BESC-309,Replacement,CA,2011,300
BESC-31,2,CA,2011,NA
BESC-31,3,CA,2011,244
BESC-311,1,CA,2011,NA
BESC-311,Replacement,CA,2011,NA
BESC-312,1,CA,2011,308
BESC-312,2,CA,2011,NA
BESC-312,3,CA,2011,445
BESC-313,1,CA,2011,298
BESC-313,2,CA,2011,407
BESC-313,3,CA,2011,NA
BESC-313,Replacement,CA,2011,405
BESC-314,1,CA,2011,164
BESC-314,2,CA,2011,167
BESC-314,Replacement,CA,2011,NA
BESC-315,1,CA,2011,226
BESC-315,2,CA,2011,222
BESC-315,3,CA,2011,409
BESC-315,Replacement,CA,2011,292
BESC-316,1,CA,2011,240
BESC-316,2,CA,2011,165
BESC-316,3,CA,2011,390
BESC-317,1,CA,2011,305
BESC-317,3,CA,2011,362
BESC-318,1,CA,2011,328
BESC-318,2,CA,2011,243
BESC-318,3,CA,2011,309
BESC-318,Replacement,CA,2011,NA
BESC-319,1,CA,2011,394
